site,date,n_scenes,scenes,coverage,cloud_frac,valid_frac,blue_median,site_ha,water_ha,water_frac,wet_veg_ha,ndwi_water_ha,scl_water_ha,ndti_mean,ndci_mean,ndci_p90,bloom_frac,quality,processed_at
mar-menor,2018-12-12,2,S2B_30SXG_20181212_0_L2A;S2B_30SYG_20181212_0_L2A,1.0,0.002,0.998,0.0221,13582.8,13269.6,0.9788,17.9,13311.5,13434.0,-0.6824,-0.2528,0.019,0.0273,ok,2026-09-02T13:02:47+00:00
mar-menor,2018-12-17,2,S2A_30SXG_20181217_0_L2A;S2A_30SYG_20181217_0_L2A,1.0,0.0024,0.9976,0.0157,13582.8,13245.0,0.9775,35.3,13306.7,13431.1,-0.8366,-0.3887,0.0,0.0327,ok,2026-09-02T13:02:47+00:00
mar-menor,2018-12-22,2,S2B_30SXG_20181222_0_L2A;S2B_30SYG_20181222_0_L2A,1.0,0.3668,0.6332,0.0296,13582.8,8449.4,0.9824,6.6,8465.8,8489.2,-0.5253,-0.135,-0.0155,0.0049,nublado,2026-09-02T13:02:47+00:00
mar-menor,2018-12-27,1,S2A_30SXG_20181227_0_L2A,1.0,0.2898,0.7102,0.0837,13582.8,6321.0,0.6553,125.6,9391.5,9785.1,-0.2095,-0.0338,0.0258,0.0009,nublado,2026-09-02T13:02:47+00:00
mar-menor,2019-01-01,2,S2B_30SXG_20190101_0_L2A;S2B_30SYG_20190101_0_L2A,1.0,0.002,0.998,0.0234,13582.8,13164.3,0.9711,36.3,13187.6,13429.4,-0.728,-0.4301,-0.037,0.0184,ok,2026-09-02T13:02:47+00:00
mar-menor,2019-01-06,2,S2A_30SXG_20190106_0_L2A;S2A_30SYG_20190106_0_L2A,1.0,0.0022,0.9978,0.0154,13582.8,13142.0,0.9697,58.3,13193.6,13429.0,-0.8062,-0.4814,0.0,0.0276,ok,2026-09-02T13:02:47+00:00
mar-menor,2019-01-11,4,S2B_30SXG_20190111_0_L2A;S2B_30SXG_20190111_1_L2A;S2B_30SYG_20190111_0_L2A;S2B_30SYG_20190111_1_L2A,1.0,0.0021,0.9979,0.0172,13582.8,12881.9,0.9503,447.0,13368.2,13429.4,-0.8726,-0.2084,0.0,0.045,ok,2026-09-02T13:03:27+00:00
mar-menor,2019-01-16,2,S2A_30SXG_20190116_0_L2A;S2A_30SYG_20190116_0_L2A,1.0,0.0025,0.9975,0.0268,13582.8,13374.2,0.9872,9.1,13396.2,13432.8,-0.556,-0.2353,-0.0685,0.0045,ok,2026-09-02T13:02:47+00:00
mar-menor,2019-01-21,2,S2B_30SXG_20190121_0_L2A;S2B_30SYG_20190121_0_L2A,1.0,0.0018,0.9982,0.0156,13582.8,13043.1,0.962,171.4,13244.5,13434.3,-0.8989,-0.1603,0.0,0.026,ok,2026-09-02T13:02:47+00:00
mar-menor,2019-01-26,2,S2A_30SXG_20190126_0_L2A;S2A_30SYG_20190126_0_L2A,1.0,0.0021,0.9979,0.0108,13582.8,13252.0,0.9777,24.0,13311.2,13431.0,-0.9098,-0.0856,0.0,0.0108,ok,2026-09-02T13:02:47+00:00
mar-menor,2019-02-05,2,S2A_30SXG_20190205_0_L2A;S2A_30SYG_20190205_0_L2A,1.0,0.0023,0.9977,0.0188,13582.8,13343.9,0.9847,12.7,13384.3,13430.5,-0.8775,-0.3484,0.0,0.0056,ok,2026-09-02T13:03:27+00:00
mar-menor,2019-02-10,1,S2B_30SXG_20190210_0_L2A,1.0,0.9944,0.0056,0.018,13582.8,54.3,0.7135,15.6,70.8,73.2,-0.328,-0.1575,-0.019,0.0007,nublado,2026-09-02T13:03:27+00:00
mar-menor,2019-02-15,2,S2A_30SXG_20190215_0_L2A;S2A_30SYG_20190215_0_L2A,1.0,0.9345,0.0655,0.1197,13582.8,813.4,0.9141,0.4,884.8,933.5,-0.1477,-0.0289,0.0155,0.0,nublado,2026-09-02T13:03:27+00:00
mar-menor,2019-02-20,2,S2B_30SXG_20190220_0_L2A;S2B_30SYG_20190220_0_L2A,1.0,0.0284,0.9716,0.041,13582.8,12955.6,0.9817,9.2,13009.6,13087.5,-0.3322,-0.0365,0.0205,0.001,ok,2026-09-02T13:03:27+00:00
mar-menor,2019-02-25,2,S2A_30SXG_20190225_0_L2A;S2A_30SYG_20190225_0_L2A,1.0,0.0021,0.9979,0.0247,13582.8,13330.3,0.9835,19.8,13341.6,13419.4,-0.6226,-0.2256,-0.0612,0.0043,ok,2026-09-02T13:03:27+00:00
mar-menor,2019-03-02,2,S2B_30SXG_20190302_0_L2A;S2B_30SYG_20190302_0_L2A,1.0,1.0,0.0,,13582.8,0.0,0.0,0.0,0.0,0.0,,,,,nublado,2026-09-02T13:03:27+00:00
mar-menor,2019-03-12,2,S2B_30SXG_20190312_0_L2A;S2B_30SYG_20190312_0_L2A,1.0,0.0022,0.9978,0.0318,13582.8,13313.6,0.9824,29.0,13330.8,13413.5,-0.5629,-0.2283,-0.0933,0.0035,ok,2026-09-02T13:03:27+00:00
mar-menor,2019-03-17,2,S2A_30SXG_20190317_0_L2A;S2A_30SYG_20190317_0_L2A,1.0,0.0021,0.9979,0.0192,13582.8,13282.8,0.98,43.2,13346.8,13416.2,-0.7597,-0.4162,0.0,0.0061,ok,2026-09-02T13:03:27+00:00
mar-menor,2019-03-22,2,S2B_30SXG_20190322_0_L2A;S2B_30SYG_20190322_0_L2A,1.0,0.0022,0.9978,0.044,13582.8,13351.9,0.9851,7.4,13365.0,13414.8,-0.3558,-0.053,0.0,0.0009,ok,2026-09-02T13:03:27+00:00
mar-menor,2019-03-27,4,S2A_30SXG_20190327_0_L2A;S2A_30SXG_20190327_1_L2A;S2A_30SYG_20190327_0_L2A;S2A_30SYG_20190327_1_L2A,1.0,0.0806,0.9194,0.0527,13582.8,12323.0,0.9868,12.6,12330.8,12370.2,-0.3011,-0.0785,-0.0323,0.0006,ok,2026-09-02T13:03:27+00:00
mar-menor,2019-04-06,4,S2A_30SXG_20190406_0_L2A;S2A_30SXG_20190406_1_L2A;S2A_30SYG_20190406_0_L2A;S2A_30SYG_20190406_1_L2A,1.0,0.0042,0.9958,0.0432,13582.8,13325.8,0.9852,9.8,13350.2,13379.6,-0.3504,-0.0685,-0.0182,0.0015,ok,2026-09-02T13:03:27+00:00
mar-menor,2019-04-11,4,S2B_30SXG_20190411_0_L2A;S2B_30SXG_20190411_1_L2A;S2B_30SYG_20190411_0_L2A;S2B_30SYG_20190411_1_L2A,1.0,0.0009,0.9991,0.0512,13582.8,13366.9,0.985,3.8,13383.2,13415.7,-0.2978,-0.0533,-0.0119,0.001,ok,2026-09-02T13:04:49+00:00
mar-menor,2019-04-16,4,S2A_30SXG_20190416_0_L2A;S2A_30SXG_20190416_1_L2A;S2A_30SYG_20190416_0_L2A;S2A_30SYG_20190416_1_L2A,1.0,0.0004,0.9996,0.0374,13582.8,13362.7,0.9842,4.7,13386.3,13422.2,-0.4041,-0.0732,-0.0112,0.0021,ok,2026-09-02T13:04:49+00:00
mar-menor,2019-04-26,4,S2A_30SXG_20190426_0_L2A;S2A_30SXG_20190426_1_L2A;S2A_30SYG_20190426_0_L2A;S2A_30SYG_20190426_1_L2A,1.0,0.002,0.998,0.0282,13582.8,13351.8,0.985,4.9,13383.1,13418.4,-0.5602,-0.1942,-0.023,0.0038,ok,2026-09-02T13:04:49+00:00
mar-menor,2019-05-01,4,S2B_30SXG_20190501_0_L2A;S2B_30SXG_20190501_1_L2A;S2B_30SYG_20190501_0_L2A;S2B_30SYG_20190501_1_L2A,1.0,0.0186,0.9814,0.0472,13582.8,13060.9,0.9798,8.3,13140.6,13208.8,-0.3036,-0.037,0.0089,0.0031,ok,2026-09-02T13:04:49+00:00
mar-menor,2019-05-06,3,S2A_30SXG_20190506_0_L2A;S2A_30SXG_20190506_1_L2A;S2A_30SXG_20190506_2_L2A,1.0,0.6373,0.3627,0.1232,13582.8,4854.5,0.9853,1.2,4897.2,3203.4,-0.1536,-0.0147,0.0153,0.0,nublado,2026-09-02T13:04:49+00:00
mar-menor,2019-05-11,4,S2B_30SXG_20190511_0_L2A;S2B_30SXG_20190511_1_L2A;S2B_30SYG_20190511_0_L2A;S2B_30SYG_20190511_1_L2A,1.0,0.0026,0.9974,0.0408,13582.8,13318.9,0.9831,15.2,13381.1,13409.2,-0.38,-0.0951,0.0091,0.0038,ok,2026-09-02T13:04:49+00:00
